,off_total_yds_g,off_pass_yds_g,off_rush_yds_g,off_pts_g,def_total_yds_g,def_pass_yds_g,def_rush_yds_g,def_pts_g,kick_att,kick_yds,kick_avg,kick_lng,kick_td,punt_att,punt_yds,punt_avg,punt_lng,punt_td,punt_fc,turn_diff,take_int,take_fum,take_total,give_int,give_fum,give_total,record,rat,pwr,off,def,hfa,sos,Year,Playoff
236,360.9,208.9,152.0,23.7,356.4,248.3,108.1,22.4,41,772,18.8,32,0,31,232,7.5,27,0,22,6,17,8,25,9,10,19,0.5,8.33,0.48,22.85,1.18,2.55,-0.87,2015,0
237,359.3,266.9,92.4,20.5,337.4,233.6,103.8,25.1,34,857,25.2,50,0,40,450,11.3,82,1,15,-14,6,8,14,21,7,28,0.313,8.13,-0.57,22.42,0.55,2.52,1.24,2015,0
238,358.0,245.2,112.8,26.2,340.8,248.5,92.3,17.4,34,700,20.6,58,0,43,350,8.1,35,0,12,11,21,7,28,9,8,17,0.706,8.86,5.44,24.78,4.2,2.5,1.06,2015,1
239,355.5,248.1,107.4,22.2,283.1,199.6,83.6,18.5,27,588,21.8,41,0,29,283,9.8,83,1,26,-4,14,13,27,23,8,31,0.789,9.18,6.76,24.24,6.05,2.56,1.7,2015,1
240,353.8,255.9,97.9,24.3,380.6,258.0,122.6,23.7,40,999,25.0,101,2,32,153,4.8,16,0,17,4,11,15,26,11,11,22,0.529,8.22,-3.31,22.31,-2.08,2.42,-1.22,2015,1
241,348.8,256.8,92.1,23.5,375.0,268.2,106.8,28.0,31,721,23.3,42,0,31,361,11.6,73,1,16,-10,9,9,18,18,10,28,0.313,7.74,-7.34,21.2,-5.0,2.43,-2.33,2015,0
242,347.8,239.6,108.2,21.2,310.2,210.4,99.8,19.6,18,430,23.9,41,0,52,377,7.3,20,0,23,5,14,11,25,12,8,20,0.529,8.32,-1.66,19.63,2.25,2.5,-1.14,2015,1
243,346.7,263.3,83.4,22.4,349.6,236.8,112.8,25.0,44,1220,27.7,104,0,30,209,7.0,28,0,22,-6,9,9,18,14,10,24,0.438,8.33,0.16,23.61,0.09,2.56,1.59,2015,0
244,344.6,228.9,115.7,20.9,345.4,224.6,120.9,24.8,33,892,27.0,74,0,31,242,7.8,34,0,22,-4,8,9,17,12,9,21,0.375,8.17,-2.14,22.42,-1.02,2.41,1.6,2015,0
245,335.1,216.9,118.1,17.2,348.1,227.3,120.9,23.4,28,704,25.1,79,0,33,183,5.5,28,0,21,-22,8,3,11,22,11,33,0.25,7.9,-3.52,19.72,0.3,2.41,-0.07,2015,0
246,334.6,218.9,115.6,23.0,346.7,227.6,119.1,20.2,36,881,24.5,70,0,31,167,5.4,16,0,23,5,16,6,22,8,9,17,0.611,8.76,4.97,25.77,2.74,2.62,1.92,2015,1
247,333.5,242.4,91.1,22.4,363.6,258.8,104.9,24.9,53,1268,23.9,70,0,42,272,6.5,25,0,13,1,14,11,25,14,10,24,0.438,8.27,-2.01,22.4,-0.87,2.42,1.73,2015,0
248,331.9,236.4,95.6,17.4,379.2,250.8,128.4,27.0,41,1041,25.4,53,0,29,325,11.2,78,1,10,-9,11,10,21,12,18,30,0.188,7.79,-5.45,19.84,-1.76,2.41,1.97,2015,0
